symbol,conid,conidex,exchange
EFTR,510916208,510916208,NASDAQ.SCM
MTL,217681130,217681130,NYSE
KAVL,503836653,503836653,NASDAQ.SCM
OG,489397872,489397872,NYSE
SRZN,507790363,507790363,NASDAQ.SCM
ZIOP,30210855,30210855,NASDAQ.NMS
ADAP,193517767,193517767,NASDAQ.NMS
BBIG,454837082,454837082,NASDAQ.SCM
OPAD,511811229,511811229,NYSE
CADL,504262800,504262800,NASDAQ.NMS
CLOV,464040647,464040647,NASDAQ.NMS
STAB,511979559,511979559,NASDAQ.SCM
SOAC,427737350,427737350,NYSE
GPCOR,505405581,505405581,NASDAQ.SCM
IRS WS,492142902,492142902,NYSE
METC,264549084,264549084,NASDAQ.NMS
NAK,30214352,30214352,AMEX
RNXT,507487620,507487620,NASDAQ.SCM
YI,332383670,332383670,NASDAQ.NMS
ABOS,499901350,499901350,NASDAQ.NMS
LITB,128835281,128835281,NYSE
AEI,469676853,469676853,NASDAQ.SCM
CEI,389073959,389073959,AMEX
RLX,466739489,466739489,NYSE
BEKE,439236278,439236278,NYSE
ENVB,463080244,463080244,NASDAQ.SCM
CXP,135975631,135975631,NYSE
IMNM,448366616,448366616,NASDAQ.SCM
TNGX,507643527,507643527,NASDAQ.SCM
SONM,365628913,365628913,NASDAQ.SCM
ATIF,511470153,511470153,NASDAQ.SCM
MTL PR,75103361,75103361,NYSE
ABVC,488955661,488955661,NASDAQ.SCM
HCWB,502415495,502415495,NASDAQ.NMS
IFRX,295404306,295404306,NASDAQ.NMS
IRNT,510685728,510685728,NYSE
RNA,426832590,426832590,NASDAQ.NMS
TNDM,291995344,291995344,NASDAQ.NMS
CLIR,106634169,106634169,NASDAQ.SCM
CEPU,305095834,305095834,NYSE
DUO,390040946,390040946,NASDAQ.NMS
OPP RT,511289622,511289622,NYSE
CELU,503296339,503296339,NASDAQ.SCM
CRMD,357214541,357214541,NASDAQ.NMS
SHCR,500608506,500608506,NASDAQ.NMS
FWP,394812168,394812168,NASDAQ.SCM
JAGX,370361679,370361679,NASDAQ.SCM
FBRX,427382272,427382272,NASDAQ.SCM
SQBG,436536545,436536545,NASDAQ.SCM
ABSI,504239576,504239576,NASDAQ.NMS
CDZI,4728102,4728102,NASDAQ.NMS
WPG,460497712,460497712,NYSE
FFIE,504234900,504234900,NASDAQ.NMS
BTCM,481677953,481677953,NYSE
AGIL,510459523,510459523,NASDAQ.SCM
APLS,295518928,295518928,NASDAQ.NMS
HIBB,42870965,42870965,NASDAQ.NMS
EVLV,503286174,503286174,NASDAQ.SCM
AVPT,500588337,500588337,NASDAQ.NMS
NRXP,493462362,493462362,NASDAQ.NMS
PTRA,496878939,496878939,NASDAQ.NMS
APOP,386550369,386550369,NASDAQ.SCM
LIDR,508784734,508784734,NASDAQ.SCM
DNMR,462575805,462575805,NYSE
DOMA,504996328,504996328,NYSE
ASTR,500275221,500275221,NASDAQ.NMS
SMRT,510459516,510459516,NYSE
SPRT,262828360,262828360,NASDAQ.SCM
MIMO,507814608,507814608,AMEX
HYZN,503286178,503286178,NASDAQ.NMS
PETV,462897647,462897647,NASDAQ.SCM
MKFG,502055969,502055969,NYSE
SOPH,504091775,504091775,NASDAQ.NMS
CLAQR,506470936,506470936,NASDAQ.SCM
PAYO,499621117,499621117,NASDAQ.NMS
SGOC,220455284,220455284,NASDAQ.SCM
AVCO,258014664,258014664,NASDAQ.SCM
BYSI,269026219,269026219,NASDAQ.SCM
SPIR,508112670,508112670,NYSE
IMRX,505227406,505227406,NASDAQ.NMS
SVRA,273068652,273068652,NASDAQ.NMS
MDVL,455779127,455779127,NASDAQ.SCM
MTTR,504523254,504523254,NASDAQ.NMS
AMC,140070600,140070600,NYSE
AAPL,265598,265598,NASDAQ.NMS
EDU,40643847,40643847,NYSE
SQQQ,440504393,440504393,NASDAQ.NMS
F,9599491,9599491,NYSE
SNDL,376499916,376499916,NASDAQ.SCM
TAL,80269548,80269548,NYSE
SPY,756733,756733,ARCA
DIDI,499901376,499901376,NYSE
GSAT,41302491,41302491,AMEX
BAC,10098,10098,NYSE
DNN,41983555,41983555,AMEX
XLF,4215220,4215220,ARCA
PLTR,444857009,444857009,NYSE
KPLT,496062880,496062880,NASDAQ.NMS
NIO,332794741,332794741,NYSE
CCL,5516,5516,NYSE
HIPO,506295799,506295799,NYSE
EEM,6604766,6604766,ARCA
ANY,340389364,340389364,NASDAQ.SCM
FXI,31421120,31421120,ARCA
AMD,4391,4391,NASDAQ.NMS
NAKD,396324227,396324227,NASDAQ.SCM
MMAT,499639678,499639678,NASDAQ.SCM
T,37018770,37018770,NYSE
METX,415338132,415338132,NASDAQ.SCM
PFE,11031,11031,NYSE
UVXY,490791488,490791488,BATS
HUT,493567923,493567923,NASDAQ.NMS
WISH,460492611,460492611,NASDAQ.NMS
EWZ,10753244,10753244,ARCA
CPNG,475686899,475686899,NYSE
ZOM,447584486,447584486,AMEX
BABA,166090175,166090175,NYSE
QQQ,320227571,320227571,NASDAQ.NMS
GDX,229726316,229726316,ARCA
VXX,482838546,482838546,BATS
LU,452380855,452380855,NYSE
TQQQ,72539702,72539702,NASDAQ.NMS
VRP,319359428,319359428,ARCA
SRNGU,473315580,473315580,NASDAQ.SCM
SFTW,395298050,395298050,NYSE
BMRN,6857447,6857447,NASDAQ.NMS
NE,495918848,495918848,NYSE
MMM,9720,9720,NYSE
FDP,6478290,6478290,NYSE
VFC,13440,13440,NYSE
QURE,143720844,143720844,NASDAQ.NMS
HYD,337332936,337332936,BATS
SEIC,274224,274224,NASDAQ.NMS
JPC,17635192,17635192,NYSE
NMTC,479950007,479950007,NASDAQ.SCM
FVIV,484554951,484554951,NYSE
NXU,478440551,478440551,NYSE
PLRX,424996630,424996630,NASDAQ.NMS
VIH,455229155,455229155,NASDAQ.SCM
SLVO,125846684,125846684,NASDAQ.NMS
OMF,212990433,212990433,NYSE
SJT,12175,12175,NYSE
USOI,274144184,274144184,NASDAQ.NMS
MVO,42357298,42357298,NYSE
REM,253190564,253190564,BATS
ORC,91641417,91641417,NYSE
REML,240415762,240415762,ARCA
IEP,46149880,46149880,NASDAQ.NMS
CLM,177437740,177437740,AMEX
CRF,177437752,177437752,AMEX
GLDI,121560179,121560179,NASDAQ.NMS
QIWI,127080464,127080464,NASDAQ.NMS
USAC,120420959,120420959,NYSE
FLMN,331197705,331197705,NASDAQ.SCM
OPP,249095463,249095463,NYSE
NEWT,171642734,171642734,NASDAQ.NMS
BKCC,44965120,44965120,NASDAQ.NMS
CHMI,135748067,135748067,NYSE
IVR,61228762,61228762,NYSE
SBSW,404364696,404364696,NYSE
SBLK,236994457,236994457,NASDAQ.NMS
KNOP,125543001,125543001,NYSE
RYLD,361439195,361439195,BATS
FSK,426117794,426117794,NYSE
GLP,35976362,35976362,NYSE
PAX,467238078,467238078,NASDAQ.NMS
ARR,198163396,198163396,NYSE
RC,335049701,335049701,NYSE
MSTR,272110,272110,NASDAQ.NMS
AMZN,3691937,3691937,NASDAQ.NMS
MELI,45602025,45602025,NASDAQ.NMS
BKNG,308728373,308728373,NASDAQ.NMS
SHOP,195014116,195014116,NYSE
CMG,37655664,37655664,NYSE
BIO,764616,764616,NYSE
MRNA,344809106,344809106,NASDAQ.NMS
CACC,267192,267192,NASDAQ.NMS
TSLA,76792991,76792991,NASDAQ.NMS
MDB,292833239,292833239,NASDAQ.NMS
MKTX,31918430,31918430,NASDAQ.NMS
GOOG,208813720,208813720,NASDAQ.NMS
HUBS,169544810,169544810,NYSE
EQIX,181764593,181764593,NASDAQ.NMS
UPST,460492620,460492620,NASDAQ.NMS
NFLX,15124833,15124833,NASDAQ.NMS
RH,258821404,258821404,NYSE
LRCX,271308,271308,NASDAQ.NMS
AZO,4750,4750,NYSE
EPAM,101898880,101898880,NYSE
REGN,273733,273733,NASDAQ.NMS
IDXX,270413,270413,NASDAQ.NMS
DOCU,316073742,316073742,NASDAQ.NMS
SIVB,274385,274385,NASDAQ.NMS
NVAX,365598061,365598061,NASDAQ.NMS
MNDY,495763831,495763831,NASDAQ.NMS
DE,6393,6393,NYSE
GOOGL,208813719,208813719,NASDAQ.NMS
NOW,109911821,109911821,NYSE
BLK,5049,5049,NYSE
SAM,1841216,1841216,NYSE
NTLA,232646339,232646339,NASDAQ.NMS
GNRC,72529783,72529783,NYSE
ARQQ,512772897,512772897,NASDAQ.SCM
MSCI,47101335,47101335,NYSE
ACMR,295043917,295043917,NASDAQ.NMS
COIN,481691285,481691285,NASDAQ.NMS
BTWN,459105947,459105947,NASDAQ.SCM
MBAC,483257795,483257795,NYSE
QELL,456711358,456711358,NASDAQ.SCM
PFN,31815560,31815560,NYSE
SPI,341913709,341913709,NASDAQ.NMS
PDI,107976119,107976119,NYSE
CALM,4727574,4727574,NASDAQ.NMS
CTLP,482859691,482859691,NASDAQ.NMS
GCP,219768320,219768320,NYSE
JXN WI,510424230,510424230,NYSE
FAMI,306769238,306769238,NASDAQ.SCM
COUP,250272278,250272278,NASDAQ.NMS
SDC,382852130,382852130,NASDAQ.NMS
PHUN,347896223,347896223,NASDAQ.SCM
NNDM,388550694,388550694,NASDAQ.SCM
SESN,317956161,317956161,NASDAQ.NMS
HVBT,352441007,352441007,NASDAQ.SCM
NKLA,425175609,425175609,NASDAQ.NMS
MARA,474219659,474219659,NASDAQ.SCM
TZA,468796852,468796852,ARCA
ATER,486289023,486289023,NASDAQ.SCM
CSCW,423908170,423908170,NASDAQ.SCM
ABEV,137736417,137736417,NYSE
